variable_name,notes,unit,values,classification_scheme,missing_data,required
no_floors,Number of floors as given by the autors or calculated from the publication. Details of a calculation must be given 'conversions' column.,number of floors above ground,positive float numbers,Real number. https://en.wikipedia.org/wiki/Real_number,NA or NULL - cannot be empty,TRUE
occupation,"Type of building occupation. Possible values are residential, office, commercial, industrial, public, non-residential. Multiple options allowed, need to be separated by commas. If you values are required, please create an issue.",text,"[residential, office, commercial, industrial, public, non-residential]",None,NA or NULL - cannot be empty,TRUE
building_type,"Sub-type of building occupation, such as single-family home, multi-family home, etc. SFH = single-family home. MFH = Multi-family home. If you use new types, please create an issue.",text,text [limited set of values],None,NA or NULL - cannot be empty,TRUE
measurement_type,"The way the data was measured or reported. This attribute is particularly important when occupation type is not unique, for instance, when a study reports an average across multiple samples or even an entire country. Possible values ""case study"" for data from one case study building, ""averaged"" for data that was averaged across multiple buildings, ""country-weighed average"" for data that was averaged from a country-wide dataset. Please report details in the column ""aggregation""",text (selection),"[case study, averaged, country-weighed average]",None,NA or NULL - cannot be empty,TRUE
urban_rural,"Indication where the building is found, i.e. in urban or rural context.",text,free text (ideally urban or rural),None,NA or NULL - cannot be empty,TRUE
floor_area_type,"Description of the floor area that has been used for the calculation of material intensity. There exist many different definitions of floor area types, but ideally try to categorize it as 'gross' (including walls and staircases, etc.) or 'net' (living area only). If a standard is specified, please name it here.",text,free text (ideally gross or net),As per data source,NA or NULL - cannot be empty,TRUE
Authors,Names of the authors as in the data sources citation.,text,free text,None,NA or NULL - cannot be empty,TRUE
publication_year,Publication year,year,integer value,Gregorian calendar. https://en.wikipedia.org/wiki/Gregorian_calendar,NA or NULL - cannot be empty,TRUE
publication_title,Title of the publication,text,free text,None,NA or NULL - cannot be empty,TRUE
publication_outlet,"Name of the publication outlet, e.g. Journal of Industrial Ecology",text,free text,None,NA or NULL - cannot be empty,TRUE
DOI,For scientific publications its Digital Object Identifier: http://www.doi.org,text,free text,Digital Object Identifier: http://www.doi.org,NA or NULL - cannot be empty,TRUE
URL,Internet address where the data can be accessed (or is described).,text,free text,http address,NA or NULL - cannot be empty,TRUE
comment_scope,,,,,,
comment_conversion,Description of any conversion or calculations that have been performed with the data,text,free text,None,NA or NULL - cannot be empty,TRUE
comment_aggregation,"Description of how data was aggregated. That also includes the selection of the individual material categories, such as 'unspecified'. Furthermore, averaged data as reported in ""measurement"" must be described here.",text,free text,None,NA or NULL - cannot be empty,TRUE
